date,open,close,high,low
2018/10/29,199.96,199.96,199.96,200.1
2018/10/30,200.42,200.71,200.42,200.87
2018/10/31,200.8,200.18,200.18,200.8
2018/11/1,201.9,203.43,201.9,203.6
2018/11/2,206.45,206.06,205.86,206.45
2018/11/5,206.44,207.67,206.44,207.94
2018/11/6,206.36,206.38,206.36,206.38
2018/11/7,207.32,208.32,207.32,208.35
2018/11/8,207.64,208.27,207.64,208.27
2018/11/9,205.75,205.55,205.55,205.75
2018/11/12,204.96,205.1,204.96,205.26
2018/11/13,203.22,202.93,202.57,203.22
2018/11/14,201.47,201.28,201.28,201.47
2018/11/15,200.55,200.56,199.98,200.6
2018/11/16,201.57,201.73,201.57,202
2018/11/19,202.4,202.18,202,203.06
2018/11/20,203.85,204,203.85,204.1
2018/11/21,201.86,202.06,201.75,202.2
2018/11/22,202.35,202.32,202.2,202.35
2018/11/23,202.5,202.35,202.35,202.68
2018/11/26,201.75,202.24,201.75,202.35
2018/11/27,201.5,201.5,201.5,201.85
2018/11/28,199.6,199.6,199.6,199.85
2018/11/29,198.35,198.25,198.25,198.44
2018/11/30,197.63,195.3,195.25,197.63
2018/12/3,194.3,193.83,192.8,194.5
2018/12/4,192.3,190.5,190.5,192.33
2018/12/5,189.72,189.13,189,189.8
2018/12/6,190.5,189.26,189.1,190.5
2018/12/7,188.7,188.04,187.65,188.7
2018/12/10,189.22,189.22,189.22,189.22
2018/12/11,187.66,187.3,187.3,187.66
2018/12/12,187.5,187.74,187.5,188.3
2018/12/13,191.56,191.62,191.5,191.74
2018/12/14,189.85,189.8,189.7,189.9
2018/12/17,188.05,187.61,187.6,188.05
2018/12/18,188.75,188.72,188.65,188.75
2018/12/19,189.15,189.1,189.1,189.3
2018/12/20,188.25,188.77,188.25,188.77
2018/12/21,189.5,189.24,189.24,189.5
2018/12/24,189.5,189.35,189.02,189.5
2018/12/25,187.95,188.45,187.95,188.45
2018/12/26,188.3,188.62,188.2,188.83
2018/12/27,190.98,190.98,190.98,190.98
2018/12/28,188.9,188.41,188.32,189.45
2019/1/2,188.5,188.71,188.5,188.96
2019/1/3,187.33,189.3,187.3,189.6
2019/1/4,188.46,190.82,188.46,191.02
2019/1/7,195,195,195,195
2019/1/8,195,194.55,194.5,195
2019/1/9,194.4,194.4,194.4,194.4
2019/1/10,194.11,194.14,194.11,194.52
2019/1/11,192.43,192.18,192.15,192.43
2019/1/14,189.8,189.3,189,189.8
2019/1/15,188.46,188.3,188.3,188.46
2019/1/16,187.35,187.64,187.35,187.79
2019/1/17,188.95,188.68,188.52,188.95
2019/1/18,190.75,190.75,190.75,190.75
2019/1/21,190.75,188.41,188.21,190.75
2019/1/22,187.3,186.84,186.8,187.35
2019/1/23,186.23,186.25,186.23,186.5
2019/1/24,187.62,187.37,187.12,187.62
2019/1/25,188.5,188.5,188.5,188.5
2019/1/28,190.6,190.59,190.4,190.6
2019/1/29,189.97,189.98,189.97,190
2019/1/30,189.95,189.95,189.95,189.95
2019/1/31,189.5,189.5,189.5,189.5
2019/2/1,190.55,190.57,190.55,191.3
2019/2/11,186.37,186.37,186.37,186.37
2019/2/12,185.7,185.3,185.3,185.7
2019/2/13,185.36,185.03,185,185.37
2019/2/14,185,183.8,183.8,185
2019/2/15,184,184.23,184,184.3
2019/2/18,188.38,188.35,188.25,188.46
2019/2/19,189.05,189.02,189,189.2
2019/2/20,190.82,190.65,190.18,190.82
2019/2/21,191.02,190.93,190.4,191.1
2019/2/22,191.52,192.05,191.52,192.26
2019/2/25,195.95,195.5,195.5,195.95
2019/2/26,196.98,197.81,196.98,197.9
2019/2/27,199.06,198.69,198.6,199.16
2019/2/28,199.2,199.2,199.2,199.2
2019/3/1,201.17,201.17,201.17,201.17
2019/3/4,198.8,198.56,197.4,198.85
2019/3/5,193.83,194.02,193.83,194.11
2019/3/6,193.62,192.95,192.95,193.62
2019/3/7,191.3,191.25,190.95,191.3
2019/3/8,188.75,189.36,188.75,189.6
2019/3/11,189.71,189.22,189.22,189.71
2019/3/12,190.72,191.06,190.72,191.2
2019/3/13,193.84,193.43,193.16,193.84
2019/3/14,193.9,193.71,192.5,193.95
2019/3/15,191.55,192.22,191.55,192.6
2019/3/18,191.3,192.35,191.3,192.35
2019/3/19,193.6,193.63,193.6,193.65
2019/3/20,197.16,197.45,197.16,198.25
2019/3/21,200.33,199.84,199.8,200.33
2019/3/22,198.57,198.8,198.57,198.88
2019/3/25,196.03,196.12,195.9,196.5
2019/3/26,197.2,196.71,196.5,197.2
2019/3/27,198.2,198.89,198.2,199.03
2019/3/28,197.92,198.54,197.92,199.65
2019/3/29,194,195.48,194,195.75
2019/4/1,194.86,194.85,194.5,194.86
2019/4/2,194.56,194.74,193,195.23
2019/4/3,195.5,196.09,195.5,196.35
2019/4/4,199,199.89,196,200.8
2019/4/8,207.82,207.12,206.85,207.82
2019/4/9,205.5,205.32,205.25,205.5
2019/4/10,203.13,203.29,203,203.35
2019/4/11,206.42,206.42,206.42,206.42
2019/4/12,204.2,203.94,203.8,204.2
2019/4/15,202.86,202.1,202,202.86
2019/4/16,202,202.1,202,202.5
2019/4/17,200.7,200.88,200.7,201.08
2019/4/18,200.88,200.87,200.85,201.01
2019/4/19,201.91,204.35,201.91,204.6
2019/4/22,205.55,206.2,205.55,206.23
2019/4/23,204.3,204.38,204,205.02
2019/4/24,204.38,202.75,202.02,204.38
2019/4/25,202.6,201.57,201,202.6
2019/4/26,202.92,203.11,202.38,203.55
2019/4/29,205.26,205.06,204.86,205.26
2019/4/30,204.75,204.52,204.5,204.75
2019/5/6,197.8,198.26,197.8,198.66
2019/5/7,195.06,198.5,195.06,199
2019/5/8,197,196.7,196.58,197
2019/5/9,196.36,194.79,194.75,196.36
2019/5/10,193.33,194.3,193.33,194.75
2019/5/13,194.4,194.25,194.16,194.4
2019/5/14,197.03,196.78,196.63,197.03
2019/5/15,195.98,195.8,195.8,196
2019/5/16,193.6,193.51,193.5,193.95
2019/5/17,192.5,190.65,190.55,192.5
2019/5/20,190.05,189.12,189,190.1
2019/5/21,187,187.15,187,187.36
2019/5/22,187,186.6,186.5,187.2
2019/5/23,184.6,184.73,184,184.85
2019/5/24,184.73,185.22,184.5,185.27
2019/5/27,185.4,184.6,184.48,185.4
2019/5/28,187,186.34,186.33,187
2019/5/29,183.7,184.05,183.7,184.15
2019/5/30,183.2,182.5,182.5,183.2
2019/5/31,182.6,182.37,182.3,182.7
2019/6/3,185.1,184.04,184,185.1
2019/6/4,189.65,189.8,189.6,189.84
2019/6/5,189.22,189.74,188.85,189.74
2019/6/6,185.9,185.94,185.9,186.08
2019/6/10,186.29,186,186,186.87
2019/6/11,186.32,185.35,185.35,186.32
2019/6/12,188.39,188.39,188.39,188.39
2019/6/13,187.13,187.31,186.98,187.5
2019/6/14,187.62,187.5,187.5,187.94
2019/6/17,184.9,185.23,184.9,185.28
2019/6/18,183.35,184.15,183,184.76
